TipoRiga;TipoDatabase;Applicazione;Connessione;Database;Owner;Tabella
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99C4S,1463;A91;[a91];[LFA1]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99C4S,1463;A91;[a91];[KNA1]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99C4S,1463;A91;[a91];[ADRC]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99C4S,1463;A91;[a91];[ADR2]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99C4S,1463;A91;[a91];[ADR6]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99S4S,1453;A11;[a11];[LFA1]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99S4S,1453;A11;[a11];[KNA1]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99S4S,1453;A11;[a11];[ADRC]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99S4S,1453;A11;[a11];[ADR2]
##ROWS##;SQL;SAP_SISTEMA_ACQUISTI;SP02DC2C\SAP99S4S,1453;A11;[a11];[ADR6]
##ROWS##;SQL;C_BOX_MESSAGGISTICA_SWIFT_FONDI;IN03DA2C\CNS99S1S,1633;SIT2S;[DBO];[T2SFTT15]
##ROWS##;ORA;FABBRICA_PRODOTTI;IN01DC2X:1531/BPM99S1O;BPM99S1O;JBPM_NV;NV_CARTELLA
##ROWS##;ORA;FABBRICA_PRODOTTI;IN01DC2X:1531/BPM99S1O;BPM99S1O;JBPM_NV;NV_PARTECIPANTE
##ROWS##;ORA;HOME_BANKING;10.77.252.73:1521/HBK99S1O;HBK99S1O;HOMEDB;RUBRICA
##ROWS##;ORA;HOME_BANKING;10.77.252.73:1521/HBK99S1O;HBK99S1O;HOMEDB;BONIFICO_ITA
##ROWS##;ORA;HOME_BANKING;10.77.252.73:1521/HBK99S1O;HBK99S1O;HOMEDB;BONIFICO_OUTPUT
##ROWS##;ORA;HOME_BANKING;10.77.252.73:1521/HBK99S1O;HBK99S1O;HOMEDB;BONIFICO_SEPA
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB;CONTRATTI_ATTUALI
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;CONTRATTI_ATTUALI
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;CONTRATTI_ARCHIVIO
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;RUBRICA
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;BONIFICO_ESTERO
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;BONIFICO_ESTERO_OUTPUT
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;BONIFICO_ITA
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;BONIFICO_OUTPUT
##ROWS##;ORA;HOME_BANKING;10.100.8.220:1521/HBK99C1O;HBK99C1O;HOMEDB2;BONIFICO_SEPA
##ROWS##;ORA;INTERNET_BANKING;IBK99S1O:1555/IBK99S1O;IBK99S1O;APICANALI;CONTRATTI_ATTUALI
##ROWS##;ORA;INTERNET_BANKING;IBK99S1O:1555/IBK99S1O;IBK99S1O;APICANALI;CONTATTO
##ROWS##;ORA;INTERNET_BANKING;IBK99S1O:1555/IBK99S1O;IBK99S1O;APICANALI;CONTATTO_IBAN
##ROWS##;ORA;INTERNET_BANKING;IBK99S1O:1555/IBK99S1O;IBK99S1O;APICANALI;BONIFICI_SEPA_INVIATI
##ROWS##;ORA;MARKETING_UNICA;10.76.144.44:1570/IMK99S1O;IMK99S1O;DB_INT;EMM_TARGET_LIST
##ROWS##;ORA;MARKETING_SNAP;10.77.244.122:1521/SNA99S2O;SNA99S2O;SNAP;DM_CLIENTI
##ROWS##;ORA;MARKETING_SNAP;10.77.244.122:1521/SNA99S2O;SNA99S2O;SNAP;DM_UTENTI
##ROWS##;ORA;MARKETING_SNAP;10.76.146.27:1521/SNA99C2O;SNA99C2O;SNAP;DM_CLIENTI
##ROWS##;ORA;MARKETING_SNAP;10.76.146.27:1521/SNA99C2O;SNA99C2O;SNAP;DM_UTENTI
##ROWS##;ORA;MOBILE_BANKING;10.77.252.73:1521/SES99S1O;SES99S1O;SERVIZIEXTRASI;MOVIMENTIPOS
##ROWS##;ORA;SERVIZI_TELEMATICI_CO_RE_BANKING;10.77.188.98:1525/CBC99S3O;CBC99S3O;COREDB;AZIENDE
##ROWS##;ORA;SERVIZI_TELEMATICI_CO_RE_BANKING;10.77.188.98:1525/CBC99S3O;CBC99S3O;COREDB;UTENTI
##ROWS##;ORA;SERVIZI_TELEMATICI_CO_RE_BANKING;10.77.188.103:1526/CBC99C3O;CBC99C3O;COREDB;AZIENDE
##ROWS##;ORA;SERVIZI_TELEMATICI_CO_RE_BANKING;10.77.188.103:1526/CBC99C3O;CBC99C3O;COREDB;UTENTI
