# 01 ==========================================================================================;;;;;;
# 02 tracciato record: ( separatore tra campi ==> ; ) non sono ammessi caratteri spazio nei campi);;;;;
# 03 ==========================================================================================;;;;;;
# 04 DB; type ; Application ; Connection ; Database ; Owner ; Table 
# 05 ==========================================================================================;;;;;;
# 06 DB          = Valore fisso che identifica la riga dati, a partire dal primo carattere;;;;;;
# 07 type        = [sql] oppure [ora] per individuare la tipologia di database;;;;;;
# 08 Application = Codice applicazione;;;;;;
# 09 Connection  = Connessione al database;;;;;;
# 10 Database    = Nome database;;;;;;
# 11 Owner       = Nome schema;;;;;;
# 12 Table       = Nome tabella;;;;;;
# 13 ==========================================================================================;;;;;;
DB; type ; Application ; Connection ; Database ; Owner ; Table 
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_ANTICIPO_FATTURE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_BONIFICI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_CASSETTE_SICUREZZA
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_EVENTI_TITOLI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_INVENT_CF
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_MANDATI_GPM
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_MOVIMENTI_SPORTELLO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_MOVIMENTI_SPORTELLO_PUBBLICO_UFFICIALE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_MOVIMENTI_SPORTELLO_ULTIMO_MESE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_MOVIMENTI_TITOLI_NEGOZIAZIONE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_RAPPORTI_MUTUI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_RISCHIO_INCASSI_DEBITORI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_SALDI_TITOLI_NEGOZIAZIONE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; F_SOSPESI_CONTABILITA
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ANAGRAFE_DIPENDENTE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ANAGRAFE_NDG
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ANAGRAFE_NDG_DATIAGG
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ANAGRAFE_NDG_RATING
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ANAGRAFE_NDG_UPD
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ANAGRAFE_OPERATORE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ANAGRAFE_OPERATORE_STORICO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_CARTE_MASSIMALI
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_DOSSIER
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_ENTE_EMITTENTE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_GESTORE_NDG
